Flag N d M NbThreads AvgTime Probability
1 10 0.000 1 1 0 0.000
1 10 0.020 1 1 0 0.000
1 10 0.040 1 1 0 0.000
1 10 0.060 1 1 0 0.000
1 10 0.080 1 1 0 0.000
1 10 0.100 1 1 0 0.000
1 10 0.120 1 1 0 0.000
1 10 0.140 1 1 0 0.000
1 10 0.160 1 1 0 0.000
1 10 0.180 1 1 0 0.000
1 10 0.200 1 1 0 0.000
1 10 0.220 1 1 0 1.000
1 10 0.240 1 1 0 0.000
1 10 0.260 1 1 0 1.000
1 10 0.280 1 1 0 1.000
1 10 0.300 1 1 0 1.000
1 10 0.320 1 1 0 1.000
1 10 0.340 1 1 0 1.000
1 10 0.360 1 1 0 1.000
1 10 0.380 1 1 0 1.000
1 10 0.400 1 1 0 1.000
1 10 0.420 1 1 0 1.000
1 10 0.440 1 1 0 1.000
1 10 0.460 1 1 0 1.000
1 10 0.480 1 1 0 1.000
1 10 0.500 1 1 0 1.000
1 10 0.520 1 1 0 1.000
1 10 0.540 1 1 0 1.000
1 10 0.560 1 1 0 1.000
1 10 0.580 1 1 0 1.000
1 10 0.600 1 1 0 1.000
1 10 0.620 1 1 0 1.000
1 10 0.640 1 1 0 1.000
1 10 0.660 1 1 0 1.000
1 10 0.680 1 1 0 1.000
1 10 0.700 1 1 0 1.000
1 10 0.720 1 1 0 1.000
1 10 0.740 1 1 0 1.000
1 10 0.760 1 1 0 1.000
1 10 0.780 1 1 0 1.000
1 10 0.800 1 1 0 1.000
1 10 0.820 1 1 0 1.000
1 10 0.840 1 1 0 1.000
1 10 0.860 1 1 0 1.000
1 10 0.880 1 1 0 1.000
1 10 0.900 1 1 0 1.000
1 10 0.920 1 1 0 1.000
1 10 0.940 1 1 0 1.000
1 10 0.960 1 1 0 1.000
1 10 0.980 1 1 0 1.000
1 10 1.000 1 1 0 1.000
1 10 0.000 10 1 0 0.000
1 10 0.020 10 1 0 0.000
1 10 0.040 10 1 0 0.000
1 10 0.060 10 1 0 0.000
1 10 0.080 10 1 0 0.000
1 10 0.100 10 1 0 0.000
1 10 0.120 10 1 0 0.000
1 10 0.140 10 1 0 0.000
1 10 0.160 10 1 0 0.000
1 10 0.180 10 1 0 0.000
1 10 0.200 10 1 0 0.000
1 10 0.220 10 1 0 1.000
1 10 0.240 10 1 0 0.000
1 10 0.260 10 1 0 1.000
1 10 0.280 10 1 0 1.000
1 10 0.300 10 1 0 0.000
1 10 0.320 10 1 0 1.000
1 10 0.340 10 1 0 0.000
1 10 0.360 10 1 0 1.000
1 10 0.380 10 1 0 1.000
1 10 0.400 10 1 0 1.000
1 10 0.420 10 1 0 1.000
1 10 0.440 10 1 0 1.000
1 10 0.460 10 1 0 1.000
1 10 0.480 10 1 0 1.000
1 10 0.500 10 1 0 1.000
1 10 0.520 10 1 0 1.000
1 10 0.540 10 1 0 1.000
1 10 0.560 10 1 0 1.000
1 10 0.580 10 1 0 1.000
1 10 0.600 10 1 0 1.000
1 10 0.620 10 1 0 1.000
1 10 0.640 10 1 0 1.000
1 10 0.660 10 1 0 1.000
1 10 0.680 10 1 0 1.000
1 10 0.700 10 1 0 1.000
1 10 0.720 10 1 0 1.000
1 10 0.740 10 1 0 1.000
1 10 0.760 10 1 0 1.000
1 10 0.780 10 1 0 1.000
1 10 0.800 10 1 0 1.000
1 10 0.820 10 1 0 1.000
1 10 0.840 10 1 0 1.000
1 10 0.860 10 1 0 1.000
1 10 0.880 10 1 0 1.000
1 10 0.900 10 1 0 1.000
1 10 0.920 10 1 0 1.000
1 10 0.940 10 1 0 1.000
1 10 0.960 10 1 0 1.000
1 10 0.980 10 1 0 1.000
1 10 1.000 10 1 0 1.000
1 10 0.000 100 1 1 0.000
1 10 0.020 100 1 1 0.000
1 10 0.040 100 1 1 0.000
1 10 0.060 100 1 1 0.000
1 10 0.080 100 1 1 0.000
1 10 0.100 100 1 1 0.000
1 10 0.120 100 1 1 0.000
1 10 0.140 100 1 1 0.000
1 10 0.160 100 1 2 1.000
1 10 0.180 100 1 1 0.000
1 10 0.200 100 1 2 0.000
1 10 0.220 100 1 1 0.000
1 10 0.240 100 1 2 1.000
1 10 0.260 100 1 2 1.000
1 10 0.280 100 1 2 1.000
1 10 0.300 100 1 2 1.000
1 10 0.320 100 1 2 1.000
1 10 0.340 100 1 3 1.000
1 10 0.360 100 1 3 1.000
1 10 0.380 100 1 3 1.000
1 10 0.400 100 1 3 1.000
1 10 0.420 100 1 3 1.000
1 10 0.440 100 1 3 1.000
1 10 0.460 100 1 3 1.000
1 10 0.480 100 1 3 1.000
1 10 0.500 100 1 3 1.000
1 10 0.520 100 1 3 1.000
1 10 0.540 100 1 3 1.000
1 10 0.560 100 1 3 1.000
1 10 0.580 100 1 3 1.000
1 10 0.600 100 1 3 1.000
1 10 0.620 100 1 3 1.000
1 10 0.640 100 1 3 1.000
1 10 0.660 100 1 3 1.000
1 10 0.680 100 1 3 1.000
1 10 0.700 100 1 3 1.000
1 10 0.720 100 1 3 1.000
1 10 0.740 100 1 3 1.000
1 10 0.760 100 1 3 1.000
1 10 0.780 100 1 3 1.000
1 10 0.800 100 1 3 1.000
1 10 0.820 100 1 3 1.000
1 10 0.840 100 1 3 1.000
1 10 0.860 100 1 3 1.000
1 10 0.880 100 1 3 1.000
1 10 0.900 100 1 3 1.000
1 10 0.920 100 1 3 1.000
1 10 0.940 100 1 3 1.000
1 10 0.960 100 1 3 1.000
1 10 0.980 100 1 3 1.000
1 10 1.000 100 1 3 1.000
1 10 0.000 1000 1 8 0.000
1 10 0.020 1000 1 8 0.000
1 10 0.040 1000 1 9 0.000
1 10 0.060 1000 1 9 0.000
1 10 0.080 1000 1 9 0.000
1 10 0.100 1000 1 9 0.000
1 10 0.120 1000 1 10 0.000
1 10 0.140 1000 1 9 0.000
1 10 0.160 1000 1 15 0.000
1 10 0.180 1000 1 13 0.000
1 10 0.200 1000 1 9 0.000
1 10 0.220 1000 1 20 1.000
1 10 0.240 1000 1 21 1.000
1 10 0.260 1000 1 22 1.000
1 10 0.280 1000 1 25 1.000
1 10 0.300 1000 1 17 0.000
1 10 0.320 1000 1 25 1.000
1 10 0.340 1000 1 26 1.000
1 10 0.360 1000 1 26 1.000
1 10 0.380 1000 1 26 1.000
1 10 0.400 1000 1 26 1.000
1 10 0.420 1000 1 28 1.000
1 10 0.440 1000 1 28 1.000
1 10 0.460 1000 1 29 1.000
1 10 0.480 1000 1 28 1.000
1 10 0.500 1000 1 29 1.000
1 10 0.520 1000 1 30 1.000
1 10 0.540 1000 1 39 1.000
1 10 0.560 1000 1 30 1.000
1 10 0.580 1000 1 30 1.000
1 10 0.600 1000 1 30 1.000
1 10 0.620 1000 1 31 1.000
1 10 0.640 1000 1 31 1.000
1 10 0.660 1000 1 30 1.000
1 10 0.680 1000 1 32 1.000
1 10 0.700 1000 1 31 1.000
1 10 0.720 1000 1 31 1.000
1 10 0.740 1000 1 31 1.000
1 10 0.760 1000 1 31 1.000
1 10 0.780 1000 1 32 1.000
1 10 0.800 1000 1 33 1.000
1 10 0.820 1000 1 32 1.000
1 10 0.840 1000 1 32 1.000
1 10 0.860 1000 1 32 1.000
1 10 0.880 1000 1 32 1.000
1 10 0.900 1000 1 33 1.000
1 10 0.920 1000 1 33 1.000
1 10 0.940 1000 1 33 1.000
1 10 0.960 1000 1 33 1.000
1 10 0.980 1000 1 33 1.000
1 10 1.000 1000 1 33 1.000
1 10 0.000 10000 1 82 0.000
1 10 0.020 10000 1 83 0.000
1 10 0.040 10000 1 88 0.000
1 10 0.060 10000 1 85 0.000
1 10 0.080 10000 1 94 0.000
1 10 0.100 10000 1 151 0.000
1 10 0.120 10000 1 122 0.000
1 10 0.140 10000 1 150 0.000
1 10 0.160 10000 1 93 0.000
1 10 0.180 10000 1 121 0.000
1 10 0.200 10000 1 125 0.000
1 10 0.220 10000 1 196 1.000
1 10 0.240 10000 1 103 0.000
1 10 0.260 10000 1 222 1.000
1 10 0.280 10000 1 225 1.000
1 10 0.300 10000 1 236 1.000
1 10 0.320 10000 1 238 1.000
1 10 0.340 10000 1 245 1.000
1 10 0.360 10000 1 260 1.000
1 10 0.380 10000 1 261 1.000
1 10 0.400 10000 1 266 1.000
1 10 0.420 10000 1 269 1.000
1 10 0.440 10000 1 272 1.000
1 10 0.460 10000 1 278 1.000
